Printer ID (Name),Active (Active),DeviceHub Printer (AcuPrinterID),Printer,Export (AllowExport),Allow Other Size (AllowOtherSize),Printer Capabilities (Capabilities),Computer State (ComputerState),Computer State Icon (ComputerStateIcon),Content Type (ContentType),Created By (CreatedByID),Created By,ALPrinter_CreatedByScreenID,Created On (CreatedDateTime),Description (Description),DeviceHub ID (DeviceHubID),DeviceHub ID,Drive (Drive),Edge Detection (EdgeDetection),Encoding (Encoding),Field Name (FieldName),Format (FormatID),Description,Graph Type (GraphType),Is Epson (IsEpson),Is Rendering (IsRendering),System (IsSystem),Last Modified By (LastModifiedByID),Last Modified By,ALPrinter_LastModifiedByScreenID,Last Modified On (LastModifiedDateTime),Adjustment Margin (MarginID),Description,Media Form (MediaForm),Media Shape (MediaShape),Media Source (MediaSource),Media Type (MediaType),Description (Description),ALPrinter_NoteID,ID (PrinterID),Printer State (PrinterState),Printer State Icon (PrinterStateIcon),Printer Type (PrinterType),Print Mode (PrintMode),Cloud Print Specific API Key (PrintNodeAPIKey),Cloud Computer (PrintNodeComputerID),Name,Computer Link (PrintNodeComputerLink),Cloud Printer (PrintNodePrinterID),Name,ALPrinter_PrintNodePrinterLink,Print Station (PrintStationID),Description,Push Fonts (PushFonts),Screen (ScreenID),Title,ShowCapabilities (ShowCapabilities),ShowChildren (ShowChildren),ShowFileTransfers (ShowFileTransfers),ShowPrintJobs (ShowPrintJobs),State Date (StateDate),Use Long Files (SupportsLongFiles)
LABELARY,True,,,True,True,,,,PNG,vlay,VINCENT LAY,AL.20.30.00,10/15/2025,Labelary Renderer All Densities,,,E: (Internal Flash/EPROM),,Unicode Utf8,,4X6,"4 x 6, 203 dpi",,False,True,True,vlay,VINCENT LAY,AL.20.30.00,10/15/2025,,,,,,,Labelary Renderer All Densities,e967bb47-07aa-f011-aac3-00155da3db1d,5139170a-49a0-4309-8e5f-099c8820b7a4,,,Labelary,,********,,,,,,,,,True,,,False,False,False,False,,False
AsgardPDF,True,,,True,False,,,,PDF,admin,admin admin,SM.20.99.00,10/15/2025,AsgardPDF,,,,,,,4X6,"4 x 6, 203 dpi",,False,,False,pwu,Peiyu Wu,AL.20.30.00,4/14/2026,,,,,,,AsgardPDF,4e8d47e4-06aa-f011-aac3-00155da3db1d,dae4a7ea-e784-4dd5-8411-0bfab2fcd027,,,Null,,********,,,,,,,,,False,,,False,False,False,False,,False
03,True,,,True,True,,connected,control@Info,PDF,admin,admin admin,SM.20.99.00,10/15/2025,MGUPC7,,,,,,,LB1026101,"1.5""x1""",,False,,False,admin,admin admin,SM.20.99.00,10/15/2025,,,,,,,MGUPC7,3c8d47e4-06aa-f011-aac3-00155da3db1d,7d5253a0-f349-4548-9c4d-16d89f12de4d,online,control@Info,Cloud Print,,********,"606,750",DESKTOP-CPMQJ74,https://api.printnode.com/app/devices?search=606750,"73,781,484",Device 3 - MGUPC7,https://api.printnode.com/app/devices?search=73781484,,,False,,,True,False,True,True,2025'-'01'-'31' '11':'34':'00.fffK,False
PS-Virtual,True,,,True,True,,connected,control@Info,ZPL,admin,admin admin,SM.20.99.00,10/15/2025,PS-Virtual,,,,,,,1X1.5,1 X 1.5 203 dpmm,,False,,False,admin,admin admin,SM.20.99.00,10/15/2025,,,,,,,PS-Virtual,578d47e4-06aa-f011-aac3-00155da3db1d,cf47e222-ed85-458c-855d-262c66601ee6,online,control@Info,Cloud Print,,********,"465,594",DESKTOP-2LN5HNH,https://api.printnode.com/app/devices?search=465594,"71,858,740",ZDesigner GX420d,https://api.printnode.com/app/devices?search=71858740,,,,,,True,False,True,True,2025'-'01'-'31' '11':'34':'04.fffK,
28 - MGWEIGH2,True,,,True,True,,,,PDF,admin,admin admin,SM.20.99.00,10/15/2025,MGWEIGH2,,,E: (Internal Flash/EPROM),,,,4x3In-203DPI,"4x3 Inches, 203 DPI",,False,,False,pwu,Peiyu Wu,AL.20.30.00,4/10/2026,,,,,,,MGWEIGH2,488d47e4-06aa-f011-aac3-00155da3db1d,02678747-9ee2-4012-ab3a-47840c1ae6c9,,,Cloud Print,,********,"606,750",DESKTOP-CPMQJ74,https://api.printnode.com/app/devices?search=606750,"74,146,787",Device 28 - MGWEIGH2,https://api.printnode.com/app/devices?search=74146787,,,False,,,True,False,True,True,,False
Bizhub,True,BIZHUB,BIZHUB,True,False,,,,ZPL,admin,admin admin,SM.20.99.00,10/15/2025,Office Printer,PRINTSERVER,PRINTSERVER,,,,,Letter,"8.5*11""",,False,,False,admin,admin admin,SM.20.99.00,10/15/2025,,,,,,,Office Printer,518d47e4-06aa-f011-aac3-00155da3db1d,e85b050d-f7d4-488a-bb2c-4b655ec32180,,,Device Hub,,********,,,,,,,,,False,,,False,False,True,False,,False
29,True,,,True,False,,,,ZPL,vlay,VINCENT LAY,AL.20.30.00,4/10/2026,Sato M84Pro - 203dpi,,,,,,,4X6,"4 x 6, 203 dpi",,False,,True,vlay,VINCENT LAY,AL.20.30.00,4/10/2026,,,,,,,Sato M84Pro - 203dpi,9efa3536-e634-f111-aad9-00155da3db1d,bc023aa5-df65-48e0-9cf9-5df43c75a898,,,Cloud Print,,********,"606,750",DESKTOP-CPMQJ74,https://api.printnode.com/app/devices?search=606750,"75,303,940",29 -MGPICK1,https://api.printnode.com/app/devices?search=75303940,,,False,,,True,False,True,True,,False
14,True,,,True,True,,,,PDF,admin,admin admin,SM.20.99.00,10/15/2025,MGSHIPPING1,,,E: (Internal Flash/EPROM),,,,4X6,"4 x 6, 203 dpi",,False,,False,admin,admin admin,SM.20.99.00,10/15/2025,,,,,,,MGSHIPPING1,3f8d47e4-06aa-f011-aac3-00155da3db1d,45286fc5-3dea-41ec-9622-6db2bc5faf1c,,,Cloud Print,,********,"606,750",DESKTOP-CPMQJ74,https://api.printnode.com/app/devices?search=606750,"74,174,784",Device 14 - MGSHIPPING1,https://api.printnode.com/app/devices?search=74174784,,,False,,,True,False,True,True,,False
17,True,,,True,True,,connected,control@Info,ZPL,admin,admin admin,SM.20.99.00,10/15/2025,MGRecv1,,,,,,,3x4,"3 x 4, 203 dpi",,False,,False,admin,admin admin,SM.20.99.00,10/15/2025,,,,,,,MGRecv1,458d47e4-06aa-f011-aac3-00155da3db1d,7c952dbc-6ab8-4ea0-93a8-cd15221ab2ff,online,control@Info,Cloud Print,,********,"606,750",DESKTOP-CPMQJ74,https://api.printnode.com/app/devices?search=606750,"74,059,983",12 - Receiving,https://api.printnode.com/app/devices?search=74059983,,,False,,,True,False,True,True,2025'-'01'-'31' '11':'36':'00.fffK,False
AL-JC-Virtual,True,,,True,True,,,,ZPL,admin,admin admin,SM.20.99.00,10/15/2025,Asgard JC Virtual Printer,,,E: (Internal Flash/EPROM),,,,0db7f62c-b12d-4aba-9ad5-523d8187e730,,,False,,True,admin,admin admin,SM.20.99.00,10/15/2025,,,,,,,Asgard JC Virtual Printer,4b8d47e4-06aa-f011-aac3-00155da3db1d,2fb904a4-bb4a-45c6-837a-deea76dcb0e6,,,Cloud Print,,********,"554,570",DESKTOP-1KVLI8B,https://api.printnode.com/app/devices?search=554570,"73,100,176",Generic / Text Only,https://api.printnode.com/app/devices?search=73100176,,,False,,,True,False,True,True,,False
16,True,16,16,True,True,,,,ZPL,admin,admin admin,SM.20.99.00,10/15/2025,EPSAMPLEs,PRINTSERVER,PRINTSERVER,,,,,4X6,"4 x 6, 203 dpi",,False,,False,admin,admin admin,SM.20.99.00,10/15/2025,,,,,,,EPSAMPLEs,428d47e4-06aa-f011-aac3-00155da3db1d,09c9d9d7-9420-4886-9d5a-dfcccbc0ad74,,,Device Hub,,********,,,,,,,,,False,,,False,False,True,False,,False
